anio,mes,sentido,total_veh_pagan,total_veh_exon,total_veh_eva
"2019","1","1","3945","24","0"
"2019","1","0","936","1","0"
"2019","1","1","797","1","0"
"2019","1","0","4956","2","0"
"2019","1","1","1961","1","0"
"2019","1","0","440","1","1"
"2019","1","1","522","1","0"
"2019","1","0","2275","5","0"
"2019","1","1","2104","3","0"
"2019","1","0","1315","8","0"
"2019","1","1","1267","7","0"
"2019","1","0","4425","8","0"
"2019","1","1","3174","6","0"
"2019","1","0","524","14","0"
"2019","1","1","502","13","0"
"2019","1","0","1464","8","0"
"2019","1","1","1579","9","0"
"2019","1","0","0","4706","0"
"2019","1","0","379","24","0"
"2019","1","1","314","23","0"
"2019","1","0","800","19","0"
"2019","1","1","740","20","0"
"2019","1","0","1878","12","0"
"2019","1","1","1584","11","0"
"2019","1","0","717","12","0"
"2019","1","1","0","705","0"
"2019","1","0","747","7","0"
"2019","1","1","681","10","0"
"2019","1","0","599","4","0"
"2019","1","1","607","4","0"
"2019","1","0","0","1419","0"
"2019","1","1","1351","21","0"
"2019","1","0","269","4","0"
"2019","1","1","218","2","0"
"2019","1","0","2446","20","0"
"2019","1","1","2425","23","0"
"2019","1","0","3927","14","0"
"2019","1","1","3876","17","0"
"2019","1","0","2187","12","0"
"2019","1","1","1933","11","0"
"2019","1","0","1321","7","0"
"2019","1","0","1903","20","0"
"2019","1","0","3218","11","0"
"2019","1","1","3204","8","0"
"2019","1","0","2889","15","0"
"2019","1","1","2920","12","0"
"2019","1","0","4918","17","0"
"2019","1","1","4954","30","0"
"2019","1","0","3619","26","0"
"2019","1","0","6396","54","0"
"2019","1","1","5989","49","0"
"2019","1","0","2591","22","0"
"2019","1","1","2441","21","0"
"2019","1","0","7868","128","0"
"2019","1","1","7024","115","0"
"2019","1","0","16732","113","0"
"2019","1","0","4741","36","0"
"2019","1","1","5231","68","0"
"2019","1","0","445","2","0"
"2019","1","1","0","3","0"
"2019","1","0","1586","6","0"
"2019","1","0","552","4","0"
"2019","1","0","634","16","0"
"2019","1","0","995","15","0"
"2019","1","0","282","5","0"
"2019","1","0","1363","17","0"
"2019","1","0","4999","39","0"
"2019","1","1","5758","40","0"
"2019","1","0","1592","6","0"
"2019","1","0","2828","12","0"
"2019","1","1","3052","13","0"
"2019","1","0","3068","18","0"
"2019","1","1","3330","15","0"
"2019","1","0","1260","5","0"
"2019","1","1","1108","6","0"
"2019","1","1","535","5","0"
"2019","1","0","359","5","0"
"2019","1","1","398","4","0"
"2019","1","0","636","7","0"
"2019","1","1","609","6","0"
"2019","1","0","683","3","0"
"2019","1","1","670","3","0"
"2019","1","2","731","0","0"
"2019","1","0","341","0","0"
"2019","1","1","390","0","0"
"2019","1","2","857","5","0"
"2019","1","0","427","5","0"
"2019","1","1","430","0","0"
"2019","1","2","348","4","0"
"2019","1","0","172","2","0"
"2019","1","1","176","2","0"
"2019","1","2","1310","6","0"
"2019","1","0","690","2","0"
"2019","1","1","620","4","0"
"2019","1","0","274","9","0"
"2019","1","1","255","7","0"
"2019","1","0","588","16","0"
"2019","1","1","619","15","0"
"2019","1","0","285","9","0"
"2019","1","1","284","9","0"
"2019","1","0","3252","22","0"
"2019","1","1","3353","22","0"
"2019","1","0","877","1","0"
"2019","1","1","998","2","0"
"2019","1","0","2157","1","0"
"2019","1","1","4747","3","0"
"2019","1","0","451","1","1"
"2019","1","1","471","1","0"
"2019","1","0","2320","6","0"
"2019","1","1","2133","3","0"
"2019","1","0","1262","9","0"
"2019","1","1","1269","10","0"
"2019","1","0","2524","5","0"
"2019","1","1","5219","9","0"
"2019","1","0","549","10","0"
"2019","1","1","561","11","0"
"2019","1","0","1461","8","0"
"2019","1","1","1294","6","0"
"2019","1","0","0","3704","0"
"2019","1","0","355","25","0"
"2019","1","1","281","24","0"
"2019","1","0","651","22","0"
"2019","1","1","849","17","0"
"2019","1","0","1640","17","0"
"2019","1","1","1942","16","0"
"2019","1","0","762","19","0"
"2019","1","1","0","808","0"
"2019","1","0","617","15","0"
"2019","1","1","780","7","0"
"2019","1","0","560","8","0"
"2019","1","1","548","8","0"
"2019","1","0","0","1336","0"
"2019","1","1","1390","15","0"
"2019","1","0","198","2","0"
"2019","1","1","248","2","0"
"2019","1","0","2103","14","0"
"2019","1","1","2721","20","0"
"2019","1","0","3201","24","0"
"2019","1","1","4725","31","0"
"2019","1","0","1749","6","0"
"2019","1","1","2544","8","1"
"2019","1","0","1363","12","0"
"2019","1","0","2233","22","0"
"2019","1","0","2733","7","0"
"2019","1","1","3999","12","0"
"2019","1","0","2516","21","0"
"2019","1","1","3494","24","0"
"2019","1","0","4376","24","0"
"2019","1","1","4947","34","0"
"2019","1","0","3547","18","0"
"2019","1","0","4935","41","0"
"2019","1","1","7362","49","0"
"2019","1","0","1344","24","0"
"2019","1","1","1727","22","0"
"2019","1","0","7523","100","0"
"2019","1","1","10398","120","0"
"2019","1","0","10880","83","0"
"2019","1","0","4181","32","0"
"2019","1","1","7321","56","0"
"2019","1","0","383","4","0"
"2019","1","1","0","5","0"
"2019","1","0","2983","13","0"
"2019","1","0","747","4","0"
"2019","1","0","788","13","0"
"2019","1","0","865","12","0"
"2019","1","0","390","4","0"
"2019","1","0","1483","17","0"
"2019","1","0","4685","45","0"
"2019","1","1","5085","41","0"
"2019","1","0","1807","7","0"
"2019","1","0","2764","10","0"
"2019","1","1","3044","16","0"
"2019","1","0","4080","36","0"
"2019","1","1","4085","28","0"
"2019","1","0","1066","6","0"
"2019","1","1","960","4","0"
"2019","1","1","361","5","0"
"2019","1","0","286","6","0"
"2019","1","1","243","5","0"
"2019","1","0","554","7","0"
"2019","1","1","561","7","0"
"2019","1","0","712","1","0"
"2019","1","1","678","2","0"
"2019","1","2","726","0","0"
"2019","1","0","383","0","0"
"2019","1","1","343","0","0"
"2019","1","2","855","8","0"
"2019","1","0","443","2","0"
"2019","1","1","412","6","0"
"2019","1","2","312","17","0"
"2019","1","0","159","9","0"
"2019","1","1","153","8","0"
"2019","1","2","1456","9","0"
"2019","1","0","719","6","0"
"2019","1","1","737","3","0"
"2019","1","0","244","9","0"
"2019","1","1","228","10","0"
"2019","1","0","718","12","0"
"2019","1","1","604","15","0"
"2019","1","0","269","23","0"
"2019","1","1","268","22","0"
"2019","1","0","4379","39","0"
"2019","1","1","4210","42","0"
"2019","1","0","769","2","0"
"2019","1","1","817","3","0"
"2019","1","0","1416","3","0"
"2019","1","1","2281","3","0"
"2019","1","0","404","3","0"
"2019","1","1","430","3","0"
"2019","1","0","2054","4","0"
"2019","1","1","2155","1","0"
"2019","1","0","1134","7","0"
"2019","1","1","1225","5","0"
"2019","1","0","2830","6","0"
"2019","1","1","3414","6","0"
"2019","1","0","457","13","0"
"2019","1","1","458","16","0"
"2019","1","0","1450","12","0"
"2019","1","1","1460","18","0"
"2019","1","0","0","4279","0"
"2019","1","0","339","18","0"
"2019","1","1","328","18","0"
"2019","1","0","702","22","0"
"2019","1","1","711","24","0"
"2019","1","0","1673","19","0"
"2019","1","1","1703","17","0"
"2019","1","0","635","8","0"
"2019","1","1","0","616","0"
"2019","1","0","625","12","0"
"2019","1","1","673","15","0"
"2019","1","0","635","9","0"
"2019","1","1","565","9","0"
"2019","1","0","0","1253","0"
"2019","1","1","1251","21","0"
"2019","1","0","247","6","0"
"2019","1","1","247","3","0"
"2019","1","0","2111","17","0"
"2019","1","1","2259","14","0"
"2019","1","0","3885","36","0"
"2019","1","1","3718","26","0"
"2019","1","0","1899","10","0"
"2019","1","1","2087","5","0"
"2019","1","0","1141","9","0"
"2019","1","0","1688","17","0"
"2019","1","0","2174","5","0"
"2019","1","1","2831","5","0"
"2019","1","0","1906","14","0"
"2019","1","1","2584","16","0"
"2019","1","0","4058","22","0"
"2019","1","1","4684","33","0"
"2019","1","0","2631","19","0"
"2019","1","0","4516","38","0"
"2019","1","1","5247","33","0"
"2019","1","0","2197","21","0"
"2019","1","1","2247","21","0"
"2019","1","0","5244","98","0"
"2019","1","1","6027","87","0"
"2019","1","0","8970","69","0"
"2019","1","0","4920","52","0"
"2019","1","1","5338","36","0"
"2019","1","0","345","4","0"
"2019","1","1","0","2","0"
"2019","1","0","1499","11","0"
"2019","1","0","673","5","0"
"2019","1","0","741","15","0"
"2019","1","0","933","16","0"
"2019","1","0","448","10","0"
"2019","1","0","1520","12","0"
"2019","1","0","4898","48","0"
"2019","1","1","5075","50","0"
"2019","1","0","1705","2","0"
"2019","1","0","2935","9","0"
"2019","1","1","3193","10","0"
"2019","1","0","4045","35","0"
"2019","1","1","4061","31","0"
"2019","1","0","864","4","0"
"2019","1","1","959","5","0"
"2019","1","1","418","3","0"
"2019","1","0","227","0","0"
"2019","1","1","304","0","0"
"2019","1","0","493","6","0"
"2019","1","1","587","7","0"
"2019","1","0","1576","17","0"
"2019","1","1","1466","14","0"
"2019","1","2","750","0","0"
"2019","1","0","385","0","0"
"2019","1","1","365","0","0"
"2019","1","2","819","8","0"
"2019","1","0","416","6","0"
"2019","1","1","403","2","0"
"2019","1","2","295","4","0"
"2019","1","0","159","2","0"
"2019","1","1","136","2","0"
"2019","1","2","1503","16","0"
"2019","1","0","731","6","0"
"2019","1","1","772","10","0"
"2019","1","0","242","6","0"
"2019","1","1","222","7","0"
"2019","1","0","622","15","0"
"2019","1","1","525","16","0"
"2019","1","0","284","6","0"
"2019","1","1","253","7","0"
"2019","1","0","3417","36","0"
"2019","1","1","3200","30","0"
"2019","1","0","668","2","0"
"2019","1","1","716","2","0"
"2019","1","0","1511","0","0"
"2019","1","1","1472","0","0"
"2019","1","0","350","2","0"
"2019","1","1","509","2","0"
"2019","1","0","2026","4","0"
"2019","1","1","2185","4","0"
"2019","1","0","1133","13","1"
"2019","1","1","1203","12","0"
"2019","1","0","3097","6","0"
"2019","1","1","2885","5","0"
"2019","1","0","465","16","0"
"2019","1","1","433","15","0"
"2019","1","0","1469","11","0"
"2019","1","1","1444","10","0"
"2019","1","0","0","4034","0"
"2019","1","0","394","23","0"
"2019","1","1","342","23","0"
"2019","1","0","711","15","0"
"2019","1","1","679","16","0"
"2019","1","0","1656","17","0"
"2019","1","1","1644","16","0"
"2019","1","0","690","11","0"
"2019","1","1","0","676","0"
"2019","1","0","677","14","0"
"2019","1","1","648","15","0"
"2019","1","0","518","7","0"
"2019","1","1","506","7","0"
"2019","1","0","0","1281","0"
"2019","1","1","1175","17","0"
"2019","1","0","206","4","0"
"2019","1","1","200","3","0"
"2019","1","0","2320","20","0"
"2019","1","1","2245","19","0"
"2019","1","0","3827","22","0"
"2019","1","1","3502","22","0"
"2019","1","0","1946","9","0"
"2019","1","1","1828","11","1"
"2019","1","0","1197","7","0"
"2019","1","0","1676","20","0"
"2019","1","0","2904","7","0"
"2019","1","1","2975","10","0"
"2019","1","0","2563","23","0"
"2019","1","1","2744","22","0"
"2019","1","0","4506","20","0"
"2019","1","1","4760","34","0"
"2019","1","0","3197","27","0"
"2019","1","0","5439","30","0"
"2019","1","1","5256","35","0"
"2019","1","0","2931","20","0"
"2019","1","1","2643","18","0"
"2019","1","0","5329","86","0"
"2019","1","1","5217","92","0"
"2019","1","0","8019","79","0"
"2019","1","0","4836","46","0"
"2019","1","1","5391","48","0"
"2019","1","0","353","2","0"
"2019","1","1","0","2","0"
"2019","1","0","1415","5","0"
"2019","1","0","611","1","0"
"2019","1","0","696","11","0"
"2019","1","0","962","20","0"
"2019","1","0","444","7","0"
"2019","1","0","1553","9","0"
"2019","1","0","4944","48","0"
