id,cod_enti," cod_ubi_inei",cod_pais ,uo_nombre ,fecha,CO,H2S,NO2,O3,PM10,PM2,SO2,Ruido,UV,Humedad,Latitud,Longitud,Presion,Temperatura
499,10069,150122,PE,Subgerencia de Desarrollo Ambiental,22/10/2020 7:00,0.00,0.00,96.25,0.00,61.72,17.88,7.22,98.57,0.18,99.30,-12.11,-77.05,100610.84,15.53
339,10069,150122,PE,Subgerencia de Desarrollo Ambiental,15/10/2020 15:00,0.00,0.00,81.04,0.00,19.39,6.15,8.28,103.73,1.51,87.36,-12.11,-77.05,100404.94,18.31
398,10069,150122,PE,Subgerencia de Desarrollo Ambiental,18/10/2020 2:00,0.00,0.00,90.59,0.00,207.50,18.62,7.17,86.95,0.00,99.30,-12.11,-77.05,100543.75,15.78
162,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 2:00,0.00,0.00,94.36,0.00,55.91,18.83,7.22,65.60,0.00,97.63,-12.11,-77.05,100745.50,16.09
424,10069,150122,PE,Subgerencia de Desarrollo Ambiental,19/10/2020 4:00,0.00,0.00,82.88,0.00,218.19,28.65,7.21,80.15,0.00,96.50,-12.11,-77.05,100469.79,16.41
175,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 19:00,0.00,0.00,119.52,0.00,69.00,14.01,7.26,92.87,0.00,94.77,-12.11,-77.05,100735.56,16.47
343,10069,150122,PE,Subgerencia de Desarrollo Ambiental,15/10/2020 19:00,5.47,0.00,126.27,0.00,84.23,14.47,7.41,99.45,0.00,92.28,-12.11,-77.05,100481.06,17.27
402,10069,150122,PE,Subgerencia de Desarrollo Ambiental,18/10/2020 6:00,0.00,0.00,80.61,0.00,129.44,17.31,7.21,80.01,0.00,99.30,-12.11,-77.05,100594.09,15.72
530,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 14:00,0.00,0.00,41.78,1.14,18.92,5.90,8.47,104.10,1.54,78.37,-12.11,-77.05,100567.67,19.71
361,10069,150122,PE,Subgerencia de Desarrollo Ambiental,16/10/2020 13:00,7.79,0.00,89.64,0.00,92.07,15.83,8.02,103.34,1.24,92.44,-12.11,-77.05,100501.06,18.16
726,10069,150122,PE,Subgerencia de Desarrollo Ambiental,31/10/2020 18:00,39.46,0.00,116.49,0.00,141.56,21.56,7.38,98.14,0.04,93.54,-12.11,-77.05,1007.99,16.70
311,10069,150122,PE,Subgerencia de Desarrollo Ambiental,14/10/2020 11:00,3.10,0.00,33.17,0.00,31.73,6.46,8.50,96.98,1.92,79.23,-12.11,-77.05,100737.75,20.11
725,10069,150122,PE,Subgerencia de Desarrollo Ambiental,31/10/2020 17:00,36.31,0.00,120.78,0.00,89.06,13.86,7.62,94.08,0.10,91.74,-12.11,-77.05,1007.42,17.38
